Brand	Average rating
Rossano Ferretti Parma	4.103820833
Saie	4.343229412
Saint Jane Beauty	4.629222222
SEPHORA COLLECTION	4.075763818
Sephora Favorites	3.861742857
Shani Darden Skin Care	4.452211111
Shiseido	4.248915873
shu uemura	4.405632558
SIMIHAZE BEAUTY	3.323914286
SK-II	4.19224375
Skin Laundry	4.000866667
Skinfix	4.382259259
SKYLAR	4.275208333
Slip	3.633153333
Smashbox	4.218547727
SOBEL SKIN Rx	4.446
Sol de Janeiro	4.19617619
Soleil Toujours	4.558585714
St. Tropez	4.048919048
stila	4.07614
StriVectin	4.658125
Sulwhasoo	4.539269565
Summer Fridays	4.26395
SUNDAY II SUNDAY	4.4516
Sunday Riley	4.211816667
Supergoop!	3.872976923
Susteau	3.514425
T3	4.075058333
TAN-LUXE	3.8622
tarte	3.955909524
Tata Harper	4.10956
Tatcha	4.256022
The 7 Virtues	4.381347826
The INKEY List	4.076829787
The Maker	#DIV/0!
The Nue Co.	4.590675
The Ordinary	4.107725926
The Original MakeUp Eraser	4.450685714
The Outset	4.6437375
The Phluid Project	4.33545
TOCCA	4.355817647
TOM FORD	4.218756701
Too Faced	4.074940984
Topicals	4.036133333
Touchland	4.201
Tower 28 Beauty	4.335569231
TULA Skincare	4.171483871
TWEEZERMAN	3.973988235
Urban Decay	4.16347069
Valentino	4.375462069
Vegamour	4.357195455
Velour Lashes	4.276178571
Verb	4.180379545
Versace	4.405567568
Viktor&Rolf	4.512578947
Violet Voss	4.661166667
Viori	4.61254
Virtue	4.067813725
Viseart	3.97755
VOLUSPA	4.269252542
Wander Beauty	4.196584615
WASO	4.43785
Westman Atelier	3.958930769
Wishful	4.22577
World of Chris Collins	4.21081
Youth To The People	4.334862963
Yves Saint Laurent	4.483328571
